Total swipes,18314
Total right swipes,2519
Total left swipes,15795
Most right swipes in a day,137
Most left swipes in a day,1584
Right swipe percentage,13.75%
Average daily swipes,381.54/day
Total matches,51
Most matches in a day,4
Longest no match streak,4 days
Average matches per day,1.062 matches
Matches to right swipe percentage,2.025%
First day of swiping,2021-01-30
Most recent day of swiping,2021-03-18
Messages sent,861
Messages recieved,833
Most messages sent in a day,86
Most messages recieved in a day,88
Number of times app opened,2042
Average app opens per day,42.54
Most app opens in a day,130
Total days on Tinder,47 days
Days profile active,48 days
Days profile deactivated,-1 days
Months of Tinder Gold purchased,0 months
